,Target Tweets
58,"open doja cat live her recite roddy ricch the box lyric like she recite hamlet fuck chainmail armour 
"
59,"miss be and think be cod god because change the layout tumblr theme 
"
60,"bernie suspend the campaign isnt the same thing drop out mean will not hold events/rallies instead 
"
61,"Quarantine Moods 
"
62,"this have the goodest good boy Ive ever lay eye 
"
63,"rock and roll photos 
"
64,"Bernie Sanders have more integrity one wag finger than the rest the Democratic establishment combine and never for 
"
65,"The wild thing that Bernie wasnt even radical be the only one with small common sense and some decency and coul 
"
66,"how about president this year just say fuck and freestyle 
"
67,"April sexual assault awareness month would like remind everyone the cause rape 
"
68,"Faking mugshots trend now What BiTCH EARNED MINE THE OLD FASHIONED WAY culture not costume 
"
69,"fuckin love eggo waffle 
"
70,"wait for all impulsive quarantine purchase arrive the mail 
"
71,"You know shit serious when Gaga wear her glass 
"
72,"Celebrities say imagine all the people and Gaga say imagine million dollars 
"
73,"follow the rule amp stay home despite see yall STILL roam around big group 
"
74,"this and blunt 
"
75,"Fucking bore but probably still wont home workout 
"
76,"Love play dress 
"
77,"The government know yall go wylin they say months they go tell yall days time lmao 
"
78,"Love job when the bad energy doesnt come work yasss like this every day 
"
79,"Are pregnant women get 500 for their unborn child Seeing have heartbeat and all do that not count now 
"
80,"student and parent dont claim pay the majority bill youre ove 
"
81,"This how want the government give money 
"
82,"everyday mood 
"
83,"Brides be cancel their big day People be die alone Funerals more than people Healthcare workers stayi 
"
84,"The Trump campaign just release cease and desist letter demand that station immediately pull this 
"
85,"Yeah sorry but 1200 isnt gon cut when white tiger cub run between 2000- 4000 
"
86,"None you be take this seriously until affect you your family Stay home your house party and friends 
"
87,"just pass 2,000 deaths the from Covid-19.It take month from death 1,000 deaths.It take 
"
88,"can not believe still see people out with their friends like nothing yall be annoy swear god 
"
89,"not like video game its not good them 
"
90,"interest that Bernie the only presidential candidate who hasnt be accuse sexual assault but appa 
"
91,"cant wait hear ... Can start you guy off with some drink and appetizers 
"
92,"Bad Bunny say fuck toxic masculinity love see 
"
93,"China do not cover anything about the coronavirus Thats Western propaganda Its call COVID-19 because 
"
94,"Costco employees be test positive for Covid-19 Costco where hundreds people weekly get essentials Now 
"
95,"Congress should give you guy the trillion 
"
96,"day 65,345 quarantine 
"
97,"Celebrities keep try sing the virus away like this Disney movie something 
"
98,"Why be conservatives insistent call Covid-19 the Chinese virus Its not even like save them time type 
"
99,"Chicago what do yall this woman 
"
100,"China go into lockdown everyone stay indoors and today be the first day out and they can now walk around 
"
101,"celebrities be really do everything BUT donate money lmao ... like what do this even mean 
"
102,"The campaign have stop actively raise money for his candidacy- but instead use his vast online donor net 
"
103,"Yall through these niggas phone just cry amp stay you far violate mfs privacy atleast take your 
"
104,"you ever wonder how bat pee Youre welcome Its the best quarantine content get 
"
105,"raise your hand youre deeply disturb almost every day the inability the richest country the world basi 
"
106,"doja cat shoot for cyber sex music video 
"
107,"how 're all gon act the time 're allow back outside 
"
108,"quarantine induce mental breakdown may die hair black LMAOOOO 
"
109,"Hot take formative years your life involve major terrorist attack two recessions exorbitantly expensive 
"
110,"Can yall please just follow the government instructions can knock this coronavirus out and do feel like 
"
111,"Quarantine Routine this just general guide for myself base goals amp what work for allow lot 
"
112,"alright think do brush hair 
"
113,"fairness Trump do promise run America like run his business.We cant say werent warn 
"
114,"There shortage assholes despise during TrumpPandemic but add these your list Marsha Blackburn TNJames 
"
115,"man House would pop Vicodin Thursday and have that cure Saturday morning 
"
116,"Dear Republicans Next time you call climate change hoax please remember the months you spend call the Coronavi 
"
117,"and friends age file for unemployment 
"
118,"Can yall stay inside can get this shit over with school can open back amp people can get ther job back crackin 
"
119,"this like the exact opposite that pokemon summer 
"
120,"Are celebrities get infect with COVID19 disproportionate rat be the rich/wealthy the only people with acce 
"
